State,X,Y
Andhra Pradesh,-73.0,-205.0
Arunachal Pradesh,267, 163
Assam,256,118
Bihar,87.0, 68.0
Chhattisgarh,17.0,-17.0
Goa,-217.0,-200.0
Gujarat,-279.0,6.0
Haryana,-147.0,178.0
Himachal Pradesh,-127.0,270.0
Jharkhand,78.0,31.0
Karnataka,-161.0,-182.0
Kerala,-157.0,-325.0
Madhya Pradesh,-72.0,5.0
Maharashtra,-195.0,-94.0
Manipur,215.0,89.0
Meghalaya,284.0,72.0
Mizoram,264.0,19.0
Nagaland,307.0,121.0
Odisha,83.0,-50.0
Punjab,-162.0,223.0
Rajasthan,-242.0,118.0
Sikkim,152.0,142.0
Tamil Nadu,-83.0,-331.0
Telangana,-90.0,-116.0
Uttar Pradesh,-50.0,127.0
Uttarakhand,-76.0,203.0
West Bengal,140.0,12.0
Delhi,-122.0,164.0
Jammu and Kashmir,-170.0,346.0
Ladakh,-115.0,328.0
